ingred_clean,dfg_clean,ingred_desc,simple_name,ingred_code,sample_id,Similarity,match,replace
milk yogurt fruit whole greek,yogurt,"Yogurt, Greek, fruit, whole milk",Yogurt,1294,788,0.591,n,
greek vanilla lowfat yogurt,yogurt,"Yogurt, Greek, vanilla, lowfat",Yogurt,1297,788,0.537,,
lowfat other flavor yogurt chocolate than frozen,chocolate milk lowfat,"Yogurt, frozen, flavors other than chocolate, lowfat",Lowfat chocolate milk,1298,238,0.572,n,
spice basil dried,basil,"Spices, basil, dried",Basil,2003,752,0.691,n,
spice seed caraway,carrot juice,"Spices, caraway seed",Carrot juice,2005,232,0.231,n,
spice celery seed,celery stalk steamed,"Spices, celery seed",Steamed Celery stalk,2007,129,0.529,n,
spice chili powder,cocoa powder,"Spices, chili powder",Cocoa powder,2009,892,0.449,n,
spice ground cinnamon,ground pork,"Spices, cinnamon, ground",ground pork,2010,910,0.399,n,
spice clove ground,ground pork,"Spices, cloves, ground",ground pork,2011,910,0.441,n,
spice coriander dried leaf,spinach leaf,"Spices, coriander leaf, dried",Spinach leaves,2012,125,0.366,n,
spice seed cumin,pumpkin seed,"Spices, cumin seed",Pumpkin seeds,2014,562,0.268,n,
spice curry powder,cocoa powder,"Spices, curry powder",Cocoa powder,2015,892,0.447,n,
spice garlic powder,garlic,"Spices, garlic powder",Garlic,2020,748,0.68,n,
spice ginger ground,ground pork,"Spices, ginger, ground",ground pork,2021,910,0.484,n,
spice marjoram dried,orange slice dried,"Spices, marjoram, dried",Dried orange slices,2023,533,0.351,n,
spice ground mustard seed,curely green mustard steamed,"Spices, mustard seed, ground",Steamed Curely mustard greens,2024,121,0.489,n,
spice nutmeg ground,ground pork,"Spices, nutmeg, ground",ground pork,2025,910,0.432,n,
spice powder onion,onion,"Spices, onion powder",Onion,2026,749,0.64,n,
spice dried oregano,orange slice dried,"Spices, oregano, dried",Dried orange slices,2027,533,0.366,n,
spice paprika,dried apricot,"Spices, paprika",Dried apricots,2028,525,0.345,n,
spice parsley dried,parsley,"Spices, parsley, dried",Parsley,2029,751,0.789,n,
spice pepper black,black tea,"Spices, pepper, black",Black tea,2030,779,0.461,n,
spice cayenne pepper red,pepper red steamed bell whole seed,"Spices, pepper, red or cayenne",Steamed whole red bell pepper w/o seed,2031,143,0.432,n,
spice poultry seasoning,onion,"Spices, poultry seasoning",Onion,2034,749,0.228,n,
spice pumpkin pie,pumpkin seed,"Spices, pumpkin pie spice",Pumpkin seeds,2035,562,0.724,n,
spice sage ground,ground pork,"Spices, sage, ground",ground pork,2038,910,0.539,n,
spice dried thyme,orange slice dried,"Spices, thyme, dried",Dried orange slices,2042,533,0.307,n,
spice ground turmeric,turkey ground,"Spices, turmeric, ground",ground turkey,2043,909,0.477,n,
basil fresh,basil,"Basil, fresh",Basil,2044,752,0.805,,
prepared yellow mustard,curely green mustard steamed,"Mustard, prepared, yellow",Steamed Curely mustard greens,2046,121,0.495,n,
iodized table salt,sugar table,"Salt, table, iodized",Table sugar,2047,773,0.274,n,
vinegar cider,garlic,"Vinegar, cider",Garlic,2048,748,0.186,n,
alcohol extract vanilla imitation,vanilla cooky,"Vanilla extract, imitation, no alcohol",Vanilla cookies,2052,253,0.419,n,
vinegar distilled,chip tortilla,"Vinegar, distilled",Tortilla chips,2053,828,0.24,n,
canned caper,black bean canned sw,"Capers, canned",Canned black beans (S&W),2054,268,0.414,n,
horseradish prepared,pepper red steamed bell whole seed,"Horseradish, prepared",Steamed whole red bell pepper w/o seed,2055,143,0.208,n,
without gerber babyfood added fluoride bottled water,rice cereal gerber,"Babyfood, water, bottled, GERBER, without added fluoride",Rice cereal (Gerber),3024,432,0.354,n,
babyfood pasta dinner vegetable,chip vegetable,"Babyfood, dinner, pasta with vegetables",Vegetable chips,3077,548,0.514,n,
babyfood strained applesauce fruit,top apple sauce tree original,"Babyfood, fruit, applesauce, strained",Original apple sauce (Tree top),3116,277,0.407,,
tapioca banana babyfood strained fruit,chip banana,"Babyfood, fruit, bananas with tapioca, strained",Banana chips,3129,527,0.481,n,
babyfood raspberry strained fruit apple,raspberry whole,"Babyfood, fruit, apple and raspberry, strained",Whole raspberry,3152,81,0.58,n,
babyfood apple juice banana,chip banana,"Babyfood, apple-banana juice",Banana chips,3167,527,0.558,n,
babyfood fortified cereal dry barley,grain barley pearl whole,"Babyfood, cereal, barley, dry fortified",Whole grain pearl barley,3181,470,0.426,,
babyfood fortified rice cereal dry,rice cereal gerber,"Babyfood, cereal, rice, dry fortified",Rice cereal (Gerber),3194,432,0.372,,
babyfood cooky,vanilla cooky,"Babyfood, cookies",Vanilla cookies,3213,253,0.369,,
babyfood teething biscuit,cracker wheat nabisco,"Babyfood, teething biscuits",Wheat crackers (Nabisco),3216,510,0.266,n,
babyfood pudding dessert custard strained vanilla,vanilla cream bean ice,"Babyfood, dessert, custard pudding, vanilla, strained",Vanilla bean ice cream,3245,789,0.356,n,
junior babyfood pudding dessert custard vanilla,vanilla cooky,"Babyfood, dessert, custard pudding, vanilla, junior",Vanilla cookies,3246,253,0.362,n,
junior tapioca babyfood fruit banana,chip banana,"Babyfood, fruit, bananas with tapioca, junior",Banana chips,3280,527,0.449,n,
abbott pediasure child feed formula nutrition ready,grain cereal multi,"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed",Multi grain cereal,3860,256,0.23,n,
babyfood filling fortified cereal fruit bar,fillet fish based plant,"Babyfood, fortified cereal bar, fruit filling",plant based fish fillet,3964,1094,0.306,n,snack bar (blueberry)
tallow fat beef,yellow nectarine whole,"Fat, beef tallow",Whole yellow nectarine,4001,60,0.306,n,
lard,steamed stalk green collard leaf,Lard,Steamed Collard greens leaves and stalk,4002,119,0.403,n,
partially oil soybean salad hydrogenated,artichoke canned heart,"Oil, soybean, salad or cooking, (partially hydrogenated)",Canned Artichoke hearts,4034,274,0.245,n,
salad peanut oil,peanut,"Oil, peanut, salad or cooking",Peanuts,4042,551,0.703,n,
soybean salad oil,soy milk,"Oil, soybean, salad or cooking",Soy milk,4044,228,0.342,n,
coconut oil,milk coconut,"Oil, coconut",coconut milk,4047,898,0.832,n,
salad oil olive,chive,"Oil, olive, salad or cooking",chives,4053,907,0.366,n,
salad oil sesame,cheese american,"Oil, sesame, salad or cooking",American Cheese,4058,762,0.224,n,
spread fat margarine 39 35 tub,spread market 365 tahini food whole,"Margarine,spread, 35-39% fat, tub",Tahini spread (365 Whole Foods Market),4128,474,0.342,n,
salad cottonseed oil,cottage cheese,"Oil, cottonseed, salad or cooking",Cottage cheese,4502,244,0.292,n,
approx oil linoleic 65 sunflower,sunflower seed,"Oil, sunflower, linoleic, (approx. 65%)",Sunflower seeds,4506,561,0.555,n,
oleic of oil commerce salad safflower primary high,cheese commercial mac,"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",Commercial Mac and Cheese,4511,282,0.356,n,
oil corn retail salad all purpose industrial,flour all purpose,"Oil, corn, industrial and retail, all purpose salad or cooking",All purpose flour,4518,774,0.531,n,
almond oil,roasted almond,"Oil, almond",roasted almonds,4529,899,0.765,n,
chicken fat,breast chicken,"Fat, chicken",Chicken breast,4542,875,0.7,n,
partially oil soybean salad cottonseed hydrogenated,pear bartlett seed whole,"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",Whole Bartlett pear w/o seed,4543,34,0.241,n,
shortening soybean cottonseed hydrogenated industrial,green bean steamed,"Shortening industrial, soybean (hydrogenated) and cottonseed",Steamed Green beans,4554,132,0.239,n,
turkey fat,turkey ground,"Fat, turkey",ground turkey,4575,909,0.662,n,
canola oil,granola,"Oil, canola",Granola,4582,775,0.747,n,
margarine like oil blend soybean butter,cracker peanut butter,"Margarine-like, margarine-butter blend, soybean oil and butter",Peanut butter crackers,4585,545,0.336,n,
light stick butter salt,unsalted butter,"Butter, light, stick, with salt",Unsalted butter,4601,817,0.529,,
grease fat bacon animal,cracker shaped animal,"Animal fat, bacon grease",Animal shaped crackers,4609,540,0.445,n,
fat margarine composite salt 80 stick regular,large house green tomato whole,"Margarine, regular, 80% fat, composite, stick, with salt",Whole Green house (large) tomato,4610,75,0.256,n,
fat margarine composite salt 80 regular tub,large house green tomato whole,"Margarine, regular, 80% fat, composite, tub, with salt",Whole Green house (large) tomato,4611,75,0.261,n,
spread vegetable oil margarine like fat 60 salt tub,chip vegetable,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",Vegetable chips,4613,548,0.462,n,
spread vegetable oil margarine like fat sticktubbottle 60 salt,vegetable juice,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt",Vegetable juice,4614,234,0.395,n,
shortening composite vegetable household,chip vegetable,"Shortening, vegetable, household, composite",Vegetable chips,4615,548,0.409,n,
fat margarine without composite salt 80 stick regular,large house green tomato whole,"Margarine, regular, 80% fat, composite, stick, without salt",Whole Green house (large) tomato,4617,75,0.293,n,
spread vegetable oil margarine like fat free salt liquid,vegetable juice,"Margarine-like, vegetable oil spread, fat free, liquid, with salt",Vegetable juice,4624,234,0.456,n,
spread fat margarine like yogurt approximately 40 salt tub,yogurt,"Margarine-like spread with yogurt, approximately 40% fat, tub, with salt",Yogurt,4627,788,0.381,n,
spread vegetable oil margarine like fat free tub,chip vegetable,"Margarine-like, vegetable oil spread, fat-free, tub",Vegetable chips,4631,548,0.481,n,
spread vegetable oil margarine like 20 fat salt,chip vegetable,"Margarine-like, vegetable oil spread, 20% fat, with salt",Vegetable chips,4633,548,0.477,n,
fat island free salad thousand dressing,large house green tomato whole,"Salad dressing, thousand island dressing, fat-free",Whole Green house (large) tomato,4635,75,0.23,n,
fat free salad italian dressing,raisin bran cereal,"Salad dressing, italian dressing, fat-free",Raisin bran cereal,4636,503,0.259,n,
dressing ranch salad regular,raisin bran cereal,"Salad dressing, ranch dressing, regular",Raisin bran cereal,4639,503,0.291,n,
dressing light salad mayonnaise,mayonnaise,"Salad dressing, mayonnaise, light",Mayonnaise,4641,814,0.696,,
partially oil butter flavor soy multiuse for non hydrogenated dairy industrial,grain cereal multi,"Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor",Multi grain cereal,4651,256,0.308,n,
partially oil soy all purpose hydrogenated industrial,flour all purpose,"Oil, industrial, soy ( partially hydrogenated), all purpose",All purpose flour,4652,774,0.463,n,
partially oil shortening cottonseed principal a soy use tortilla hydrogenated industrial,chip tortilla,"Oil, industrial, soy (partially hydrogenated)  and cottonseed, principal use as a tortilla shortening",Tortilla chips,4654,828,0.439,n,
confection fat oil ice coating typical for basis coconut cream industrial,strip dried coconut,"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",Dried coconut strips,4659,532,0.424,n,
original pam oil spray,top apple sauce tree original,"Oil, PAM cooking spray, original",Original apple sauce (Tree top),4679,277,0.494,n,
spread vegetable oil margarine like fat unspecified added d approximately salt vitamin 37,chip vegetable,"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",Vegetable chips,4690,548,0.345,n,
fat margarine d added composite salt vitamin 80 stick regular,red chard steamed organic stalk cal leaf,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",Steamed Red chard leaves and stalk (Cal-Organic),4691,114,0.273,n,
fat margarine d added composite salt vitamin 80 regular tub,red chard steamed organic stalk cal leaf,"Margarine, regular, 80% fat, composite, tub, with salt, with added vitamin D",Steamed Red chard leaves and stalk (Cal-Organic),4692,114,0.25,n,
