ingred_clean,dfg_clean,ingred_desc,simple_name,ingred_code,sample_id,Similarity,match,replace
without steamed cooked potato salt leaf sweet,sweet potato steamed whole,"Sweet potato leaves, cooked, steamed, without salt",Steamed whole sweet potato,11506,157,0.763,n,
program unprepared raw potato food for usda includes sweet,sweet potato steamed whole,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",Steamed whole sweet potato,11507,157,0.405,,
baked flesh without cooked potato salt skin sweet,sweet potato steamed whole,"Sweet potato, cooked, baked in skin, flesh, without salt",Steamed whole sweet potato,11508,157,0.542,,
without cooked potato boiled skin sweet,sweet potato steamed whole,"Sweet potato, cooked, boiled, without skin",Steamed whole sweet potato,11510,157,0.594,,
pack canned potato vacuum sweet,sweet potato steamed whole,"Sweet potato, canned, vacuum pack",Steamed whole sweet potato,11512,157,0.461,,
taro raw,starch corn,"Taro, raw",Corn Starch,11518,785,0.264,n,
taro without salt cooked,oat bran cooked,"Taro, cooked, without salt",cooked oat bran,11519,902,0.34,n,
taro leaf raw,spinach leaf,"Taro leaves, raw",Spinach leaves,11520,125,0.352,n,
green raw tomato,large house green tomato whole,"Tomatoes, green, raw",Whole Green house (large) tomato,11527,75,0.663,n,
year red raw round tomato ripe average,large house green tomato whole,"Tomatoes, red, ripe, raw, year round average",Whole Green house (large) tomato,11529,75,0.396,,
cooked red tomato ripe,hunt tomato paste,"Tomatoes, red, ripe, cooked",Hunt's Tomato paste,11530,802,0.48,n,Muir's diced tomatoes
red packed canned tomato ripe juice,muir tomato diced,"Tomatoes, red, ripe, canned, packed in tomato juice",Muir's diced tomatoes,11531,801,0.451,,
red canned stewed tomato ripe,hunt tomato paste,"Tomatoes, red, ripe, canned, stewed",Hunt's Tomato paste,11533,802,0.453,n,Muir's diced tomatoes
added canned salt tomato juice,muir tomato diced,"Tomato juice, canned, with salt added",Muir's diced tomatoes,11540,801,0.493,n,
without paste added canned product salt tomato,hunt tomato paste,"Tomato products, canned, paste, without salt added",Hunt's Tomato paste,11546,802,0.514,,
without puree added canned product salt tomato,large house green tomato whole,"Tomato products, canned, puree, without salt added",Whole Green house (large) tomato,11547,75,0.4,n,Hunt's Tomato paste
canned sauce product tomato,sauce hunt tomato,"Tomato products, canned, sauce",Hunt's Tomato sauce,11549,804,0.63,,
turnip raw,rainbow o cereal morning,"Turnips, raw",Rainbow Morning O's Cereals,11564,681,0.236,n,
without cooked turnip salt boiled drained,oat bran cooked,"Turnips, cooked, boiled, drained, without salt",cooked oat bran,11565,902,0.296,n,
without cooked turnip salt boiled frozen drained,frozen bean green whole,"Turnips, frozen, cooked, boiled, drained, without salt",Frozen whole green beans,11567,596,0.372,n,
without cooked turnip green salt boiled drained,green onion,"Turnip greens, cooked, boiled, drained, without salt",Green onion,11569,849,0.31,n,
without cooked turnip green salt boiled frozen drained,frozen bean green whole,"Turnip greens, frozen, cooked, boiled, drained, without salt",Frozen whole green beans,11575,596,0.512,n,
raw waterchestnuts matai chinese,cheese commercial mac,"Waterchestnuts, chinese, (matai), raw",Commercial Mac and Cheese,11588,282,0.282,n,
canned waterchestnuts chinese liquid solid,nut pine,"Waterchestnuts, chinese, canned, solids and liquids",Pine nut,11590,559,0.261,n,
raw watercress,seedless watermelon,"Watercress, raw",Seedless watermelon,11591,95,0.328,n,
without cooked waxgourd melon preserving chinese boiled salt drained,seedless watermelon,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt",Seedless watermelon,11594,95,0.294,n,
baked without yam cooked salt boiled drained,oat bran cooked,"Yam, cooked, boiled, drained, or baked, without salt",cooked oat bran,11602,902,0.344,n,
raw jicama yambean,jicama,"Yambean (jicama), raw",Jicama,11603,103,0.731,,
canned pickled beet liquid solid,pickle,"Beets, pickled, canned, solids and liquids",Pickles,11609,755,0.539,n,"Peeled, steamed beetroot"
variety without squash cooked all salt summer boiled drained,squash neck yellow steamed,"Squash, summer, all varieties, cooked, boiled, drained, without salt",Steamed yellow neck squash,11642,149,0.403,,
baked variety without squash cooked winter all salt,squash butternut steamed,"Squash, winter, all varieties, cooked, baked, without salt",Steamed butternut squash,11644,146,0.4,,
canned carrot juice,carrot juice,"Carrot juice, canned",Carrot juice,11655,232,0.889,,
home prepared milk added mashed potato whole,sweet potato steamed whole,"Potatoes, mashed, home-prepared, whole milk added",Steamed whole sweet potato,11657,157,0.484,n,
agar seaweed dried,roasted seaweed,"Seaweed, agar, dried",Roasted seaweed,11663,538,0.639,,
seaweed dried spirulina,roasted seaweed,"Seaweed, spirulina, dried",Roasted seaweed,11667,538,0.481,,
seaweed wakame raw,roasted seaweed,"Seaweed, wakame, raw",Roasted seaweed,11669,538,0.555,,
chili pepper hot raw green,pepper steamed bell green whole seed,"Peppers, hot chili, green, raw",Steamed whole green bell pepper w/o seed,11670,142,0.558,n,Jalapeno
baked without flesh potato salt skin,russet flesh steamed potato,"Potatoes, baked, flesh and skin, without salt",Steamed russet potato flesh only,11674,167,0.512,n,Steamed whole russet potato
bean yellow without cooked salt boiled drained snap,yellow nectarine whole,"Beans, snap, yellow, cooked, boiled, drained, without salt",Whole yellow nectarine,11724,60,0.415,n,Steamed Green beans
bean added canned green salt solid drained snap,black bean canned sw,"Beans, snap, green, canned, no salt added, drained solids",Canned black beans (S&W),11729,268,0.449,n,Steamed Green beans
bean yellow without cooked salt boiled frozen drained snap,frozen bean green whole,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",Frozen whole green beans,11732,596,0.444,,
added canned beet salt liquid solid,kidney canned bean,"Beets, canned, no salt added, solids and liquids",Canned Kidney beans,11735,271,0.332,n,"Peeled, steamed beetroot"
added canned salt liquid solid carrot,carrot juice,"Carrots, canned, no salt added, solids and liquids",Carrot juice,11758,232,0.437,n,Steamed whole carrots
yellow added canned corn salt liquid solid sweet,corn yellow tortilla,"Corn, sweet, yellow, canned, no salt added, solids and liquids",Yellow corn tortilla,11771,206,0.433,n,Frozen Golden Corn Kernels (Siganture Select)
added canned green pea salt liquid solid,green pea split,"Peas, green, canned, no salt added, solids and liquids",Green split peas,11812,1100,0.353,n,Frozen Whole Sweet Green Peas (Flav R Pac)
chili pepper hot red raw,pepper red steamed bell whole seed,"Peppers, hot chili, red, raw",Steamed whole red bell pepper w/o seed,11819,143,0.501,n,Jalapeno
chili pepper hot red excluding canned liquid solid seed,pepper red steamed bell whole seed,"Peppers, hot chili, red, canned, excluding seeds, solids and liquids",Steamed whole red bell pepper w/o seed,11820,143,0.408,n,Jalapeno
pepper raw red sweet,pepper red steamed bell whole seed,"Peppers, sweet, red, raw",Steamed whole red bell pepper w/o seed,11821,143,0.591,,
pepper without red cooked salt boiled drained sweet,pepper red steamed bell whole seed,"Peppers, sweet, red, cooked, boiled, drained, without salt",Steamed whole red bell pepper w/o seed,11823,143,0.518,,
red added packed canned salt tomato ripe juice,muir tomato diced,"Tomatoes, red, ripe, canned, packed in tomato juice, no salt added",Muir's diced tomatoes,11885,801,0.423,,
puree added canned product salt tomato,sauce hunt tomato,"Tomato products, canned, puree, with salt added",Hunt's Tomato sauce,11888,804,0.397,,
without white corn cooked salt boiled drained sweet,white bread,"Corn, sweet, white, cooked, boiled, drained, without salt",White bread,11901,840,0.386,n,Frozen Golden Corn Kernels (Siganture Select)
kernel white canned corn whole solid drained sweet,cherry sweet whole,"Corn, sweet, white, canned, whole kernel, drained solids",Whole sweet cherry,11905,85,0.427,n,Frozen Golden Corn Kernels (Siganture Select)
cut without kernel white corn salt boiled frozen cob drained sweet off,select kernel corn siganture frozen golden,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",Frozen Golden Corn Kernels (Siganture Select),11911,727,0.445,,
pepper unprepared red chopped frozen sweet,pepper red steamed bell whole seed,"Peppers, sweet, red, frozen, chopped, unprepared",Steamed whole red bell pepper w/o seed,11917,143,0.518,,
bean yellow pack canned solid drained snap regular,black bean canned sw,"Beans, snap, yellow, canned, regular pack, drained solids",Canned black beans (S&W),11932,268,0.487,n,Steamed Green beans
catsup,sunfood superfood macadamia,Catsup,Macadamia (Sunfood Superfood),11935,555,0.197,n,Tomato Ketchup
dill cucumber pickle kosher,english cucumber whole,"Pickles, cucumber, dill or kosher dill",Whole English cucumber,11937,184,0.495,n,Pickles
cucumber pickle sour,english cucumber whole,"Pickles, cucumber, sour",Whole English cucumber,11941,184,0.568,n,Pickles
canned pimento,pinto sodium bean canned low,"Pimento, canned",Canned low sodium pinto bean,11943,267,0.448,n,
relish pickle sweet,pickle,"Pickle relish, sweet",Pickles,11945,755,0.639,,
sodium pickle sour cucumber low,english cucumber whole,"Pickles, cucumber, sour, low sodium",Whole English cucumber,11946,184,0.507,n,Pickles
catsup sodium low,chicken sodium low broth,"Catsup, low sodium",Low sodium chicken broth,11949,795,0.479,n,Tomato Ketchup
raw radicchio,muir tomato diced,"Radicchio, raw",Muir's diced tomatoes,11952,801,0.21,n,
tomatillo raw,corn yellow tortilla,"Tomatillos, raw",Yellow corn tortilla,11954,206,0.418,n,
bulb raw fennel,grain bulgur red whole,"Fennel, bulb, raw",Red whole grain bulgur,11957,454,0.241,n,
raw arugula,arugula,"Arugula, raw",arugula,11959,908,0.964,,
nopales raw,kale,"Nopales, raw",Kale,11963,846,0.276,n,
nopales without salt cooked,oat bran cooked,"Nopales, cooked, without salt",cooked oat bran,11964,902,0.272,n,
green raw cauliflower,cauliflower floret stalk steamed,"Cauliflower, green, raw",Steamed Cauliflower florets and stalk,11965,128,0.687,,
added cooked green salt cauliflower,cauliflower floret stalk steamed,"Cauliflower, green, cooked, no salt added",Steamed Cauliflower florets and stalk,11967,128,0.64,,
broccoli chinese cooked,frozen broccoli floret,"Broccoli, chinese, cooked",Frozen broccoli florets,11969,598,0.53,n,Steamed Crown broccoli florets and stalk
raw grape leaf,seedless grape red,"Grape leaves, raw",Red seedless grape,11974,99,0.454,n,
pepper raw banana,chip banana,"Pepper, banana, raw",Banana chips,11976,527,0.674,n,
pepper serrano raw,pepper red steamed bell whole seed,"Peppers, serrano, raw",Steamed whole red bell pepper w/o seed,11977,143,0.448,n,
jalapeno pepper raw,jalapeno,"Peppers, jalapeno, raw",Jalapeno,11979,750,0.817,,
broccoli chinese raw,frozen broccoli floret,"Broccoli, chinese, raw",Frozen broccoli florets,11994,598,0.537,n,Steamed Crown broccoli florets and stalk
dried squash kernel pumpkin seed,pumpkin seed,"Seeds, pumpkin and squash seed kernels, dried",Pumpkin seeds,12014,562,0.677,,
without squash kernel roasted salt pumpkin seed,pumpkin seed,"Seeds, pumpkin and squash seed kernels, roasted, without salt",Pumpkin seeds,12016,562,0.599,,
whole dried seed sesame,pepper red steamed bell whole seed,"Seeds, sesame seeds, whole, dried",Steamed whole red bell pepper w/o seed,12023,143,0.468,n,
without kernel dry roasted salt sunflower seed,sunflower seed,"Seeds, sunflower seed kernels, dry roasted, without salt",Sunflower seeds,12037,561,0.703,,
nut almond,roasted almond,"Nuts, almonds",roasted almonds,12061,899,0.733,,
nut almond blanched,roasted almond,"Nuts, almonds, blanched",roasted almonds,12062,899,0.549,,
without nut added dry roasted salt almond,roasted almond,"Nuts, almonds, dry roasted, without salt added",roasted almonds,12063,899,0.706,,
without oil nut added roasted salt almond,roasted almond,"Nuts, almonds, oil roasted, without salt added",roasted almonds,12065,899,0.717,,
nut almond paste,roasted almond,"Nuts, almond paste",roasted almonds,12071,899,0.771,n,Almond Butter (Justin's)
nut dried unblanched brazilnuts,nut brazil,"Nuts, brazilnuts, dried, unblanched",Brazil nuts,12078,557,0.627,,
without nut added dry roasted salt cashew,cashew,"Nuts, cashew nuts, dry roasted, without salt added",Cashew,12085,552,0.574,,
nut meat raw coconut,milk coconut,"Nuts, coconut meat, raw",coconut milk,12104,898,0.738,n,Dried coconut chips
dried nut sweetened packaged meat flaked desiccated coconut,chip dried coconut,"Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged",Dried coconut chips,12109,534,0.49,n,Dried coconut strips
nut sweetened canned coconut cream,milk coconut,"Nuts, coconut cream, canned, sweetened",coconut milk,12116,898,0.559,n,
milk nut raw expressed meat from water liquid grated coconut,milk coconut,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",coconut milk,12117,898,0.532,,
nut filbert hazelnut,flour hazelnut,"Nuts, hazelnuts or filberts",Hazelnut flour,12120,262,0.706,n,
nut pecan,pecan,"Nuts, pecans",Pecan,12142,560,0.845,,
nut dried pine,nut pine,"Nuts, pine nuts, dried",Pine nut,12147,559,0.774,,
without nut added pistachio dry roasted salt,fiddyment pistachio farm,"Nuts, pistachio nuts, dry roasted, without salt added",Pistachio (Fiddyment Farm),12152,558,0.441,,
nut english walnut,walnut,"Nuts, walnuts, english",Walnuts,12155,770,0.731,,
sesame kernel most butter toasted tahini roasted from type seed common,roasted almond,"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)",roasted almonds,12166,899,0.413,n,Tahini spread (365 Whole Foods Market)
nut european chestnut roasted,peanut,"Nuts, chestnuts, european, roasted",Peanuts,12167,551,0.451,n,
shredded dried nut sweetened meat desiccated coconut,chip dried coconut,"Nuts, coconut meat, dried (desiccated), sweetened, shredded",Dried coconut chips,12179,534,0.51,n,Dried coconut strips
dried sesame kernel decorticated seed,select kernel corn siganture frozen golden,"Seeds, sesame seed kernels, dried (decorticated)",Frozen Golden Corn Kernels (Siganture Select),12201,727,0.335,n,
flaxseed seed,flaxseed golden,"Seeds, flaxseed",Golden flaxseed,12220,457,0.757,,
plain nut added butter salt cashew,cashew,"Nuts, cashew butter, plain, with salt added",Cashew,12588,552,0.567,,
nut added dry roasted salt macadamia,sunfood superfood macadamia,"Nuts, macadamia nuts, dry roasted, with salt added",Macadamia (Sunfood Superfood),12632,555,0.454,,
plain nut added butter salt almond,justins almond butter,"Nuts, almond butter, plain, with salt added",Almond Butter (Justin's),12695,224,0.6,,
cut fat retail beef cooked separable,oat bran cooked,"Beef, retail cuts, separable fat, cooked",cooked oat bran,13020,902,0.308,n,
0 fat trimmed lean raw beef flank separable steak choice,tip steak round beef,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",Beef round tip steak,13068,876,0.38,,
braised shortribs fat lean beef cooked separable rib choice,oat bran cooked,"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",cooked oat bran,13148,902,0.33,n,Beef round tip steak
braised shortribs lean beef cooked separable rib choice,oat bran cooked,"Beef, rib, shortribs, separable lean only, choice, cooked, braised",cooked oat bran,13150,902,0.32,n,Beef round tip steak
broiled patty ground cooked beef frozen,frozen bean green whole,"Beef, ground, patties, frozen, cooked, broiled",Frozen whole green beans,13317,596,0.447,n,Beef round tip steak
variety brain product beef cooked meat by simmered,oat bran cooked,"Beef, variety meats and by-products, brain, cooked, simmered",cooked oat bran,13320,902,0.335,n,
variety product beef cooked meat by heart simmered,artichoke canned heart,"Beef, variety meats and by-products, heart, cooked, simmered",Canned Artichoke hearts,13322,274,0.344,n,
variety product kidney beef cooked meat by simmered,kidney canned bean,"Beef, variety meats and by-products, kidneys, cooked, simmered",Canned Kidney beans,13324,271,0.462,n,
braised variety product liver beef cooked meat by,oat bran cooked,"Beef, variety meats and by-products, liver, cooked, braised",cooked oat bran,13326,902,0.33,n,
fried variety product liver beef cooked meat by pan,bean refried,"Beef, variety meats and by-products, liver, cooked, pan-fried",Refried Beans,13327,757,0.39,n,
tongue variety product beef cooked meat by simmered,oat bran cooked,"Beef, variety meats and by-products, tongue, cooked, simmered",cooked oat bran,13340,902,0.237,n,
variety raw product tripe beef meat by,strip dried coconut,"Beef, variety meats and by-products, tripe, raw",Dried coconut strips,13341,532,0.301,n,
strip cured cooked beef breakfast,tip steak round beef,"Beef, cured, breakfast strips, cooked",Beef round tip steak,13345,876,0.4,,
cured brisket cooked beef corned,oat bran cooked,"Beef, cured, corned beef, brisket, cooked",cooked oat bran,13347,902,0.33,n,Beef round tip steak
canned cured beef corned,black bean canned sw,"Beef, cured, corned beef, canned",Canned black beans (S&W),13348,268,0.416,n,Beef round tip steak
dried cured beef,bean refried,"Beef, cured, dried",Refried Beans,13350,757,0.42,n,Beef round tip steak
pastrami cured beef,curely green mustard steamed,"Beef, cured, pastrami",Steamed Curely mustard greens,13355,121,0.297,n,Beef round tip steak
of cut 0 fat trimmed lean composite retail beef cooked separable all grade,steamed stalk green collard leaf,"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",Steamed Collard greens leaves and stalk,13364,119,0.31,n,Beef round tip steak
braised fat 0 brisket trimmed lean beef cooked separable all grade whole,pepper red steamed bell whole seed,"Beef, brisket, whole, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",Steamed whole red bell pepper w/o seed,13367,143,0.365,n,Beef round tip steak
braised 0 fat brisket trimmed lean beef cooked separable all grade whole,pepper red steamed bell whole seed,"Beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",Steamed whole red bell pepper w/o seed,13368,143,0.365,n,Beef round tip steak
chuck braised 0 fat trimmed lean beef cooked blade separable all grade roast,oat bran cooked,"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",cooked oat bran,13382,902,0.369,n,Beef round tip steak
0 fat trimmed lean beef cooked tip round roasted separable all grade roast,tip steak round beef,"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",Beef round tip steak,13424,876,0.521,,
broiled fat 0 trimmed lean top sirloin beef cooked separable all grade steak,tip steak round beef,"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",Beef round tip steak,13451,876,0.359,,
broiled 0 fat trimmed lean top sirloin beef cooked separable all grade steak,tip steak round beef,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",Beef round tip steak,13454,876,0.359,,
0 fat trimmed lean top grilled beef cooked round separable all grade boneless steak,tip steak round beef,"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",Beef round tip steak,13491,876,0.451,,
of cut fat trimmed lean composite 18 retail beef cooked separable all grade,steamed stalk green collard leaf,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked",Steamed Collard greens leaves and stalk,13796,119,0.306,n,Beef round tip steak
chuck braised fat trimmed lean 18 pot arm beef cooked separable all grade roast,oat bran cooked,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",cooked oat bran,13810,902,0.377,n,Beef round tip steak
chuck braised fat trimmed lean 18 pot arm beef cooked separable choice roast,oat bran cooked,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",cooked oat bran,13812,902,0.375,n,Beef round tip steak
chuck braised fat trimmed lean 18 beef cooked blade separable all grade roast,oat bran cooked,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",cooked oat bran,13816,902,0.364,n,Beef round tip steak
6 fat trimmed lean 18 beef cooked roasted rib separable 12 whole choice,pepper red steamed bell whole seed,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",Steamed whole red bell pepper w/o seed,13829,143,0.374,n,Beef round tip steak
6 large fat end 9 lean trimmed 18 beef cooked roasted rib separable all grade,steamed stalk green collard leaf,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",Steamed Collard greens leaves and stalk,13840,119,0.367,n,Beef round tip steak
cut fat trimmed lean 18 full raw beef round separable choice,tip steak round beef,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Beef round tip steak,13864,876,0.376,,
cut broiled fat trimmed lean 18 full beef cooked round separable choice,tip steak round beef,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",Beef round tip steak,13865,876,0.37,,
fat trimmed lean 18 beef cooked tip round roasted separable all grade roast,tip steak round beef,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",Beef round tip steak,13884,876,0.513,,
fat trimmed lean 18 beef cooked tip round roasted separable choice roast,tip steak round beef,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",Beef round tip steak,13886,876,0.519,,
fat select trimmed lean 18 beef cooked tip round roasted separable roast,tip steak round beef,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",Beef round tip steak,13888,876,0.506,,
braised fat trimmed lean top 18 beef cooked round separable all grade,tip steak round beef,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",Beef round tip steak,13892,876,0.379,,
broiled fat trimmed lean top 18 beef cooked round separable all grade steak,tip steak round beef,"Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",Beef round tip steak,13893,876,0.502,,
fat short trimmed lean top 18 loin grilled beef cooked separable steak choice,pepper steamed bell green whole seed,"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",Steamed whole green bell pepper w/o seed,13912,142,0.344,n,Beef round tip steak
fried fat trimmed lean top 18 sirloin beef cooked separable steak pan choice,bean refried,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried",Refried Beans,13933,757,0.356,n,Beef round tip steak
fat 0 trimmed lean top grilled beef cooked round separable all grade boneless steak,tip steak round beef,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",Beef round tip steak,13959,876,0.451,,
alcoholic beer all beverage regular,rice cereal gerber,"Alcoholic beverage, beer, regular, all",Rice cereal (Gerber),14003,432,0.254,n,Budweiser
light beverage beer alcoholic,righteous bread rye,"Alcoholic beverage, beer, light",Righteous rye bread,14006,884,0.23,n,
carb alcoholic beer beverage low light,rice cereal gerber,"Alcoholic beverage, beer, light, low carb",Rice cereal (Gerber),14013,432,0.255,n,
drink citrus beverage energy,rice cereal gerber,"Beverages,  Energy drink, Citrus",Rice cereal (Gerber),14021,432,0.199,n,
carb drink energy low monster beverage,rice cereal gerber,"Beverages, MONSTER energy drink, low carb",Rice cereal (Gerber),14022,432,0.261,n,
drink citrus no coca charged b6 fortified grape the energy b12 cola loaded original vitamin company beverage cherry,top apple sauce tree original,"Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12",Original apple sauce (Tree top),14030,277,0.326,n,
zero calorie bottled anti yumberry oxidant water beverage pomegranate,pomegranate seed,"Beverages, water, bottled, yumberry, pomegranate with anti-oxidants, zero calories",Pomegranate w/ seeds,14031,600,0.479,n,
abbott ea powder beverage whey protein,powder protein,"Beverages, ABBOTT, EAS whey protein powder",Protein powder,14033,778,0.678,,
proof alcoholic menthe creme beverage 72 de,farina of wheat cerealcream,"Alcoholic beverage, creme de menthe, 72 proof",Wheat farina cereal/cream of wheat,14034,427,0.258,n,
abbott ea powder soy beverage protein,powder protein,"Beverages, ABBOTT, EAS soy protein powder",Protein powder,14035,778,0.697,,
drink milk muscle cytosport ready beverage,soy milk,"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",Soy milk,14036,228,0.247,n,
proof distilled alcoholic rum vodka whiskey all gin 80 beverage,wheat tortilla whole,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",Whole wheat tortilla,14037,208,0.253,n,
drink cran energy spray ocean cranberry juice beverage,cranberry,"Beverages, OCEAN SPRAY, Cran-Energy, Cranberry Energy Juice Drink",Cranberry,14038,772,0.632,n,
drink plus nutritional nestle boost ready beverage,strip dried coconut,"Beverages, NESTLE, Boost plus, nutritional drink, ready-to-drink",Dried coconut strips,14041,532,0.272,n,
shake drink 1 3 2 meal replacement slimfast high ready beverage plan protein,powder protein,"Beverages, SLIMFAST, Meal replacement,  High Protein Shake, Ready-To-Drink, 3-2-1 plan",Protein powder,14044,778,0.305,n,
unilever drink 1 3 2 meal replacement slimfast ready beverage plan regular,vanilla cream bean ice,"Beverages, UNILEVER, SLIMFAST, meal replacement, regular, ready-to-drink,  3-2-1 Plan",Vanilla bean ice cream,14045,789,0.285,n,
unilever shake 1 3 2 powder mix slimfast plan beverage,powder protein,"Beverages, UNILEVER, SLIMFAST Shake Mix, powder, 3-2-1 Plan",Protein powder,14047,778,0.263,n,
proof distilled alcoholic rum 80 beverage,wheat tortilla whole,"Alcoholic beverage, distilled, rum, 80 proof",Whole wheat tortilla,14050,208,0.252,n,
unilever shake 1 3 2 powder mix slimfast high plan beverage whey protein,powder protein,"Beverages, UNILEVER, SLIMFAST Shake Mix, high protein, whey powder, 3-2-1 Plan,",Protein powder,14055,778,0.472,n,
drink berry acai fortified beverage,cranberry,"Beverages, Acai berry drink, fortified",Cranberry,14056,772,0.3,n,
alcoholic wine dessert beverage sweet,cherry sweet whole,"Alcoholic beverage, wine, dessert, sweet",Whole sweet cherry,14057,85,0.358,n,
shake k special kellogg beverage protein,powder protein,"Beverages, KELLOGG'S, SPECIAL K Protein Shake",Protein powder,14059,778,0.364,n,
drink sugar free energy beverage,sugar table,"Beverages, Energy Drink, sugar free",Table sugar,14061,773,0.424,n,
shake abbott drink nutritional ensure beverage ready,strip dried coconut,"Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink",Dried coconut strips,14062,532,0.244,n,
sugar added powder chocolate beverage,chocolate,"Beverages, chocolate powder, no sugar added",Chocolate,14063,776,0.543,n,Cocoa powder
pulp orange juice beverage light,free orange pulp juice,"Beverages, Orange juice, light, No pulp",Pulp free orange juice,14064,236,0.769,n,
coca the hi c flashin cola fruit punch company beverage,cola coca,"Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch",Coca cola,14065,765,0.445,n,
based powder beverage whey protein,powder protein,"Beverages, Protein powder whey based",Protein powder,14066,778,0.702,,
based powder soy beverage protein,powder protein,"Beverages, Protein powder soy based",Protein powder,14067,778,0.726,,
k20 powder special kellogg beverage protein,powder protein,"Beverages, KELLOGG'S SPECIAL K20 protein powder",Protein powder,14068,778,0.547,n,
colored citrus drink yellow caffeine soft green beverage,yellow nectarine whole,"Beverages, yellow green colored citrus soft drink with caffeine",Whole yellow nectarine,14079,60,0.359,n,
alcoholic wine table all beverage,vegetable juice,"Alcoholic beverage, wine, table, all",Vegetable juice,14084,234,0.317,n,Cabernet Sauvignon wine
drink unsweetened water beverage coconut ready,pitted unsweetened prune,"Beverages, Coconut water, ready-to-drink, unsweetened",Unsweetened pitted prunes,14090,842,0.449,n,
milk almond shelf unsweetened stable beverage,milk almond unsweetened,"Beverages, almond milk, unsweetened, shelf stable",Unsweetened almond milk,14091,794,0.743,,
coca fortified the glaceau cola water fruit punch revive vitamin company beverage,cola coca,"Beverages, The COCA-COLA company, Glaceau Vitamin Water, Revive Fruit Punch, fortified",Coca cola,14093,765,0.337,n,
red alcoholic wine table beverage,vegetable juice,"Alcoholic beverage, wine, table, red",Vegetable juice,14096,234,0.327,n,Cabernet Sauvignon wine
alcoholic wine white table beverage,white bread,"Alcoholic beverage, wine, table, white",White bread,14106,840,0.369,n,
carbonated beverage club soda,bean canned garbanzo,"Beverages, carbonated, club soda",Canned garbanzo beans,14121,269,0.206,n,
carbonated beverage cream soda,cream sour,"Carbonated beverage, cream soda",Sour cream,14130,787,0.358,n,
ginger carbonated beverage ale,rice cereal gerber,"Beverages, carbonated, ginger ale",Rice cereal (Gerber),14136,432,0.314,n,
caffeine pepper calorie without other carbonated cola than beverage low,pepper red steamed bell whole seed,"Beverages, carbonated, low calorie, other than cola or pepper,  without caffeine",Steamed whole red bell pepper w/o seed,14143,143,0.354,n,
